roll,paper_code,scgpa,cgpa
20010104003,1800265821,5.83,6.54
20010104003,1800265988,5.04,6.09
20010104004,1800265270,7.25,7.96
20010104004,1800265518,8.13,7.99
20010104004,1800265817,6.15,7.67
20010104004,1800265988,7.7,7.67
20010104006,1800265270,3.83,6.11
20010104006,1800265340,5.42,6.85
20010104006,1800265518,3.08,5.76
20010104006,1800265600,5.08,6.42
20010104006,1800265817,2.77,5.32
20010104006,1800265821,5.08,6.42
20010104006,1800265822,3.58,5.86
20010104006,1800265984,5.42,6.85
20010104006,1800265985,5.08,6.42
20010104006,1800265986,3.58,5.86
20010104006,1800265988,4.17,5.3
20010104007,1800265270,5.42,7.2
20010104007,1800265518,6.29,7.17
20010104007,1800265817,4.38,6.8
20010104007,1800265821,6.92,7.57
20010104007,1800265988,4.78,6.64
20010104008,1800265270,5.08,6.93
20010104008,1800265518,6.5,6.99
20010104008,1800265817,5.88,6.92
20010104008,1800265821,6.58,7.3
20010104008,1800265988,6.22,6.82
20010104009,1800265270,5.17,7.51
20010104009,1800265340,8.04,8.27
20010104009,1800265518,5.46,7.5
20010104009,1800265600,7.17,8.0
20010104009,1800265817,5.42,7.26
20010104009,1800265822,6.21,7.65
20010104009,1800265988,6.0,7.09
20010104010,1800265270,5.96,7.56
20010104010,1800265518,7.38,7.7
20010104010,1800265817,5.42,7.3
20010104010,1800265988,6.96,7.46
20010104011,1800265270,5.42,7.46
20010104011,1800265518,7.67,7.87
20010104011,1800265600,7.29,7.92
20010104011,1800265817,6.81,7.68
20010104011,1800265988,7.78,7.7
20010104012,1800265270,3.25,6.21
20010104012,1800265340,6.35,7.18
20010104012,1800265518,4.42,6.28
20010104012,1800265599,7.04,7.42
20010104012,1800265600,4.63,6.73
20010104012,1800265817,2.96,5.8
20010104012,1800265821,5.29,6.9
20010104012,1800265822,4.42,6.41
20010104012,1800265985,5.29,6.9
20010104012,1800265988,2.87,5.48
20010104013,1800265270,6.63,8.05
